ID,Label,Conditions,Formula
7443,Mother HIV+ or status unknown,"",
7445,Vit A intake since birth in NON-breastfed infants ,"",
7444,History of afebrile seizure ,"",
7446,Are the pustules or blisters localized or generalized ?,"",
7448,Number of days since previous consultation/diagnosis,"",
7700,"Very small, clear, superficial vesicles 1-2 mm that look like water droplets found most often on the head, neck and upper trunk. ","",
7701,Lesion / bump is solitary,"",
7702,"Skin pustules (pic) (small, pus-filled vesicules)","",
10117,Existing patient in the study?,"",
10116,Middle name,"",
7703,"Warm, red, tender skin","",
7704,"Swelling, redness is limited to breast area","",
7705,Present from birth,"",
10124,Indication and consent to test mother for HIV today?,"",
7706,"History of injury, impact or contact injury or pressure","",
10119,Chlorexidine 5% solution,"",
7729,Severe malaria,"",
7708,Incessant crying / irritability /inability to be soothed,"",
7709,Scarring of the retina / retinal detachment,"",
7710,"Red rash is limited to groin, buttock, inner thigh area","",
7711,Eye problem,"",
7712,Eye problem,"",
7713,Red eye,"",
7707,"Skin blisters - large vesicles, with clear liquid or with pus","",
7714,Eyelids very swollen,"",
7715,Copious purulent discharge (discharge re-accumulates shortly after wiping the eye),"",
7728,PLAN B: Treat Some Dehydration with ORS (in the clinic),"",
7730,Vomiting,"",
7454,"Advice on personal hygiene, boiling clothes for 10 minutes followed by ironing; soaking brushes, combs and hair ornaments in hot water for 10 minutes.","",
7520,YI - Severe abdominal problem,"",
7495,Age categories for febrile convulsions,"",ToMonth
7741,2nd respiratory rate,"",[VS34]
29260,Allergic conjunctivitis,"",
29263,Orbital cellulitis,"",
7484,Protrusion of auricula,"",
7487,Sign of surrounding skin infection,"",
7740,IMCI severe anemia,"",
7488,Improvement after oral hydration challenge,"",
7485,Refer or assess for Tuberculosis infection,"",
7746,Osteomyelitis/septic arthritis,"",
7496,Risk of rabies (Dog/bat bite),"",
7494,>= 2 months to < 6 months / >= 6 months to < 6 years,"",ToMonth
7489,ENT source of fever,((8342 = 6913 AND ((7823 = 6181) OR (7807 = 6147)))) AND ((8341 = 6912 AND AGE > 60 AND AGE < 5479) AND ((7647 = 5840 AND (7855 = 6264 AND (7818 = 6170 AND (7817 = 6168 AND (((11937 = 10390 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661)))) OR (11937 = 10389 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661))))) OR ((7734 = 6015 AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR ((8434 = 7045 AND (7842 = 6235)) OR (7833 = 6204 AND (7842 = 6234)) OR (7451 = 5519 AND (7569 = 5684 AND (7842 = 6234) OR (7842 = 6235))) OR (7839 = 6221 AND (7842 = 6233)) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR (7819 = 6174 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927))))) OR (7819 = 6171 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927))))) OR ((7459 = 5526 AND (7368 = 5377) OR (7368 = 5379)) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR (7832 = 6201 AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR ((7838 = 6218 AND ((7823 = 6181) OR (7807 = 6147))) OR (7837 = 6215 AND (7838 = 6216 AND ((7823 = 6181) OR (7807 = 6147)))) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR (8356 = 6928) OR (7835 = 6208 AND (8355 = 6926 AND (8356 = 6927))) OR (7378 = 5397) OR (7832 = 6200 AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927))))) AND ((7823 = 6181) OR (7807 = 6147))))))))),
7492,PLAN C: Rehydration for severe dehydration,"",
7493,Refer to hospital if significant amount of blood in stools (gatrointestinal bleeding),"",
7497,Eye source of fever,((7803 = 6140 AND ((7823 = 6181) OR (7807 = 6147)))) AND ((8341 = 6912 AND AGE > 60 AND AGE < 5479) AND ((7647 = 5840 AND (7855 = 6264 AND (7818 = 6170 AND (7817 = 6168 AND (((11937 = 10390 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661)))) OR (11937 = 10389 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661))))) OR ((7734 = 6015 AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR ((8434 = 7045 AND (7842 = 6235)) OR (7833 = 6204 AND (7842 = 6234)) OR (7451 = 5519 AND (7569 = 5684 AND (7842 = 6234) OR (7842 = 6235))) OR (7839 = 6221 AND (7842 = 6233)) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR (7819 = 6174 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927))))) OR (7819 = 6171 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927))))) OR ((7459 = 5526 AND (7368 = 5377) OR (7368 = 5379)) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR (7832 = 6201 AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR ((7838 = 6218 AND ((7823 = 6181) OR (7807 = 6147))) OR (7837 = 6215 AND (7838 = 6216 AND ((7823 = 6181) OR (7807 = 6147)))) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR (8356 = 6928) OR (7835 = 6208 AND (8355 = 6926 AND (8356 = 6927))) OR (7378 = 5397) OR (7832 = 6200 AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927))))) AND ((7823 = 6181) OR (7807 = 6147))))))))),
7498,Iron supplementation guidance,"",
7499,Skin rash source of fever,((8346 = 6919 AND ((7823 = 6181) OR (7807 = 6147)))) AND ((8341 = 6912 AND AGE > 60 AND AGE < 5479) AND ((7647 = 5840 AND (7855 = 6264 AND (7818 = 6170 AND (7817 = 6168 AND (((11937 = 10390 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661)))) OR (11937 = 10389 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661))))) OR ((7734 = 6015 AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR ((8434 = 7045 AND (7842 = 6235)) OR (7833 = 6204 AND (7842 = 6234)) OR (7451 = 5519 AND (7569 = 5684 AND (7842 = 6234) OR (7842 = 6235))) OR (7839 = 6221 AND (7842 = 6233)) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR (7819 = 6174 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927))))) OR (7819 = 6171 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927))))) OR ((7459 = 5526 AND (7368 = 5377) OR (7368 = 5379)) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR (7832 = 6201 AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR ((7838 = 6218 AND ((7823 = 6181) OR (7807 = 6147))) OR (7837 = 6215 AND (7838 = 6216 AND ((7823 = 6181) OR (7807 = 6147)))) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR (8356 = 6928) OR (7835 = 6208 AND (8355 = 6926 AND (8356 = 6927))) OR (7378 = 5397) OR (7832 = 6200 AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927))))) AND ((7823 = 6181) OR (7807 = 6147))))))))),
7508,Musculoskeletal source of fever,((8343 = 6916 AND ((7823 = 6181) OR (7807 = 6147)))) AND ((8341 = 6912 AND AGE > 60 AND AGE < 5479) AND ((7647 = 5840 AND (7855 = 6264 AND (7818 = 6170 AND (7817 = 6168 AND (((11937 = 10390 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661)))) OR (11937 = 10389 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661))))) OR ((7734 = 6015 AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR ((8434 = 7045 AND (7842 = 6235)) OR (7833 = 6204 AND (7842 = 6234)) OR (7451 = 5519 AND (7569 = 5684 AND (7842 = 6234) OR (7842 = 6235))) OR (7839 = 6221 AND (7842 = 6233)) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR (7819 = 6174 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927))))) OR (7819 = 6171 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927))))) OR ((7459 = 5526 AND (7368 = 5377) OR (7368 = 5379)) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR (7832 = 6201 AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR ((7838 = 6218 AND ((7823 = 6181) OR (7807 = 6147))) OR (7837 = 6215 AND (7838 = 6216 AND ((7823 = 6181) OR (7807 = 6147)))) AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) OR (8356 = 6928) OR (7835 = 6208 AND (8355 = 6926 AND (8356 = 6927))) OR (7378 = 5397) OR (7832 = 6200 AND (7835 = 6209 AND (8355 = 6926 AND (8356 = 6927))))) AND ((7823 = 6181) OR (7807 = 6147))))))))),
